CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
35268,ADVANCE HEALTH CARE OF SCOTTSDALE,9846 NORTH 95TH STREET,SCOTTSDALE,AZ,85258,4802144200,60,Maricopa,For profit - Corporation,38,37.4,,Medicare,N,"AHC OF SCOTTSDALE, LLC",2007-05-07,ADVANCED HEALTH CARE,11,26,4.7,4.1,4.2,4.7,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,4,,,,3.01492,0.49975,1.34916,1.84891,4.86383,4.08094,0.70171,0.43177,48.936,,27.273,,1,,1.55722,1.12721,2.59606,0.9786,0.76395,4.33861,3.83703,2.66001,0.44092,1.19034,4.29127,3.60054,2025-03-27,1,1,0,8,1,0,8,2023-12-15,3,3,0,20,1,0,20,11,0,0,,0,0,0,0,"9846 NORTH 95TH STREET,SCOTTSDALE,AZ,85258",33.5759,-111.88,,2025-09-01
35270,SILVERWOOD POST ACUTE,15810 SOUTH 42ND STREET,PHOENIX,AZ,85048,4807590358,60,Maricopa,For profit - Corporation,192,109.7,,Medicare and Medicaid,N,LA ESTANCIA SNF HEALTHCARE LLC,2008-05-29,PACS GROUP,690,207,2.8,2.5,2.3,4.2,N,,N,Y,N,Resident,Yes,2,,1,,5,,5,,3,,1,,,,1.66951,1.25602,0.26872,1.52474,3.19425,3.05574,0.3029,0.10208,52.5,,77.778,,2,,1.32875,0.96183,2.21518,0.83502,0.65187,3.70207,3.27408,1.72624,1.2987,0.27785,3.3028,3.15959,2023-08-03,16,13,4,80,1,0,80,2022-06-10,22,13,9,108,1,0,108,87,5,14,,0,0,0,0,"15810 SOUTH 42ND STREET,PHOENIX,AZ,85048",33.3036,-111.99,,2025-09-01
35272,"VI AT GRAYHAWK, A VI AND PLAZA COMPANIES COMMUNITY",7501 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,4803613200,60,Maricopa,For profit - Partnership,36,33.9,,Medicare,N,"CC/PDR-SCOTTSDALE, L.L.C.",2008-09-19,VI LIVING,548,10,4.8,4.2,5,4,Y,,N,N,N,Resident,Yes,5,,5,,5,,5,,5,,5,,,,2.60777,0.96448,1.42821,2.39269,5.00046,4.63912,1.06844,0.28232,44.444,,38.462,,0,,1.51404,1.09596,2.52408,0.95147,0.74277,4.21831,3.73064,2.3664,0.87521,1.29602,4.53763,4.20973,2024-02-27,2,1,1,8,1,0,8,2022-11-23,0,0,0,0,0,0,0,6,0,0,,0,0,0,0,"7501 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255",33.6691,-111.92,,2025-09-01
35273,SPLENDIDO AT RANCHO VISTOSO,13500 NORTH RANCHO VISTOSO BLVD,TUCSON,AZ,85755,5208782600,90,Pima,For profit - Limited Liability company,42,36.5,,Medicare,N,"TUCSON MATHER PLAZA, LLC",2008-09-12,,,,,,,,Y,,N,N,N,Both,Yes,5,,3,,5,,5,,5,,5,,,,2.45011,0.97741,0.85427,1.83169,4.28179,4.25158,0.52033,0.06015,45.652,,37.5,,0,,1.17436,0.85008,1.9578,0.738,0.57613,3.27193,2.89366,2.86642,1.14349,0.99943,5.00933,4.97399,2023-10-06,3,2,1,28,1,0,28,2022-08-25,4,4,0,16,1,0,16,25,1,1,,1,8017.75,0,1,"13500 NORTH RANCHO VISTOSO BLVD,TUCSON,AZ,85755",32.4448,-110.97,,2025-09-01
35275,ADVANCED HEALTH CARE OF GLENDALE,16825 NORTH 63RD AVENUE,GLENDALE,AZ,85306,6027323400,60,Maricopa,For profit - Corporation,54,51.6,,Medicare,N,AHC OF GLENDALE LLC,2010-02-04,ADVANCED HEALTH CARE,11,26,4.7,4.1,4.2,4.7,N,,N,N,N,None,Yes,4,,3,,5,,,2,5,,4,,,,2.97301,0.68259,1.35108,2.03366,5.00668,4.3822,0.92008,0.2579,48,,45,,0,,1.81983,1.31731,3.03386,1.14363,0.89278,5.07028,4.48411,2.24451,0.51533,1.02001,3.77985,3.30839,2024-09-27,5,4,1,24,1,0,24,2023-09-27,4,0,4,20,0,0,20,23,0,5,0,0,0,0,0,"16825 NORTH 63RD AVENUE,GLENDALE,AZ,85306",33.6377,-112.2,,2025-09-01
35276,OASIS PAVILION NURSING & REHABILITATION CENTER,161 WEST RODEO ROAD SUITE 1,CASA GRANDE,AZ,85122,5208361772,100,Pinal,For profit - Limited Liability company,134,117,,Medicare and Medicaid,N,"OASIS PAVILION NURSING AND REHABILITATION CENTER, LLC",2010-10-04,,,,,,,,N,,Y,N,N,Resident,Yes,2,,2,,4,,5,,4,,3,,,,1.73808,0.85609,0.4178,1.27389,3.01197,2.55155,0.2747,0.13047,39.785,,18.182,,0,,1.23889,0.89678,2.06536,0.77855,0.60778,3.45169,3.05265,1.92751,0.94939,0.46333,3.34023,2.82963,2024-03-07,11,7,5,44,1,0,44,2022-11-17,23,18,10,92,1,0,92,56,4,7,,3,13762.44,0,3,"161 WEST RODEO ROAD SUITE 1,CASA GRANDE,AZ,85122",32.8939,-111.75,22,2025-09-01
35277,HAVEN OF LAKESIDE,3401 NORTH LOCKWOOD DRIVE,LAKESIDE,AZ,85929,9283682060,80,Navajo,For profit - Individual,112,93.8,,Medicare and Medicaid,N,HAVEN OF LAKESIDE LLC,2010-11-02,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,N,N,N,Resident,Yes,1,,2,,4,,5,,3,,1,,,,1.85049,0.58979,0.51911,1.1089,2.95939,2.58587,0.21411,0.01852,57.746,,54.545,,0,,1.35451,0.98048,2.25813,0.85121,0.66451,3.77385,3.33756,1.87698,0.59823,0.52655,3.00176,2.62289,2024-06-06,11,5,7,52,1,0,52,2022-12-08,14,14,1,80,1,0,80,59,9,4,,0,0,0,0,"3401 NORTH LOCKWOOD DRIVE,LAKESIDE,AZ,85929",34.2019,-110.02,,2025-09-01
35279,ACACIA HEALTH CENTER,4555 EAST MAYO BLVD,PHOENIX,AZ,85050,4803845600,60,Maricopa,For profit - Corporation,78,72.3,,Medicare,N,LCS-WESTMINSTER PARTNERSHIP IV LLP,2011-03-03,LIFE CARE SERVICES,312,22,4.4,4,4.2,4.2,Y,,N,N,N,Resident,Yes,5,,5,,5,,5,,5,,5,,,,3.15849,1.00502,1.42878,2.43379,5.59228,5.19069,1.2113,0.16561,16.667,,10.526,,0,,1.47362,1.0667,2.45669,0.92606,0.72294,4.10569,3.63104,2.94476,0.93701,1.3321,5.21387,4.83945,2024-12-06,0,0,0,0,0,0,0,2023-10-13,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"4555 EAST MAYO BLVD,PHOENIX,AZ,85050",33.6836,-112.01,,2025-09-01
35280,SANTE OF MESA,5358 EAST BASELINE ROAD,MESA,AZ,85206,4806999624,60,Maricopa,For profit - Limited Liability company,70,66.4,,Medicare,N,"ASANTE OF MESA, LLC",2011-06-14,SANTE,466,5,4.4,3.4,3.8,5,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,4,,,,2.38761,1.52703,0.87252,2.39956,4.78716,4.07263,0.77998,0.27122,41.837,,47.368,,0,,1.56748,1.13464,2.61316,0.98504,0.76898,4.36718,3.8623,2.09276,1.33846,0.76477,4.19599,3.5697,2024-09-06,3,3,0,12,1,0,12,2022-11-10,7,5,2,32,1,0,32,17,1,1,,1,3146,0,1,"5358 EAST BASELINE ROAD,MESA,AZ,85206",33.3793,-111.72,,2025-09-01
35281,"VI AT SILVERSTONE, A VI AND PLAZA COMPANIES COMMUN",22605 NORTH 74TH STREET,SCOTTSDALE,AZ,85255,4804786200,60,Maricopa,For profit - Corporation,24,20.7,,Medicare,N,CC PDR SILVERSTONE L L C,2011-06-09,VI LIVING,548,10,4.8,4.2,5,4,Y,,N,N,N,None,Yes,5,,4,,4,,2,,5,,5,,,,3.05645,0.67951,1.78179,2.46129,5.51774,5.08251,1.68349,0.13108,26.316,,30.769,,0,,1.3694,0.99126,2.28294,0.86057,0.67181,3.81532,3.37423,3.06651,0.68174,1.78765,5.5359,5.09924,2025-03-13,3,3,0,16,1,0,16,2023-11-29,2,0,1,12,0,0,12,15,1,0,1,0,0,0,0,"22605 NORTH 74TH STREET,SCOTTSDALE,AZ,85255",33.7023,-111.92,,2025-09-01
35282,SANTE OF SURPRISE,14775 WEST YORKSHIRE DRIVE,SURPRISE,AZ,85374,6235945050,60,Maricopa,For profit - Corporation,70,67.2,,Medicare,N,ASANTE TRC OF SURPRISE LLC,2011-10-24,SANTE,466,5,4.4,3.4,3.8,5,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,4,,,,2.19514,1.28271,1.25632,2.53904,4.73418,4.03256,0.96772,0.14946,63.71,,50,,0,,1.54197,1.11618,2.57064,0.96902,0.75647,4.29613,3.79946,1.95588,1.14291,1.11939,4.21818,3.59303,2024-07-03,7,7,1,28,1,0,28,2023-02-24,1,1,0,4,1,0,4,22,0,0,,0,0,0,0,"14775 WEST YORKSHIRE DRIVE,SURPRISE,AZ,85374",33.6603,-112.38,,2025-09-01
35283,SANTE OF CHANDLER,825 SOUTH 94TH STREET,CHANDLER,AZ,85224,4803616636,60,Maricopa,For profit - Limited Liability company,70,67.9,,Medicare,N,SANTE CHANDLER LLC,2011-10-24,SANTE,466,5,4.4,3.4,3.8,5,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,4,,,,2.30374,1.96343,0.48347,2.4469,4.75063,3.98721,0.28137,0.25246,43.434,,41.667,,0,,1.48295,1.07345,2.47223,0.93192,0.72751,4.13167,3.65402,2.13434,1.81906,0.44792,4.40132,3.69403,2024-05-31,5,5,0,20,1,0,20,2023-03-09,0,0,0,0,0,0,0,15,0,0,,0,0,0,0,"825 SOUTH 94TH STREET,CHANDLER,AZ,85224",33.2919,-111.88,,2025-09-01
35284,ARIZONA STATE VETERAN HOME-TUCSON,555 EAST AJO WAY,TUCSON,AZ,85713,5206382150,90,Pima,Government - State,120,115.7,,Medicare and Medicaid,N,STATE OF ARIZONA/STATE DEPT OF FINANCE,2012-02-23,,,,,,,,N,,N,N,N,Resident,Yes,5,,3,,5,,5,,,2,5,,,,3.18309,1.31883,0.66282,1.98165,5.16474,4.75445,0.4043,0.00736,25.758,,26.087,,,26,1.10687,0.80122,1.84528,0.69559,0.54302,3.08389,2.72736,3.95101,1.637,0.82273,6.41073,5.90146,2024-01-05,3,3,0,20,1,0,20,2022-09-30,7,6,1,40,1,0,40,25,1,0,,0,0,0,0,"555 EAST AJO WAY,TUCSON,AZ,85713",32.1779,-110.96,,2025-09-01
35285,WELLSPRINGS OF GILBERT,3319 SOUTH MERCY ROAD,GILBERT,AZ,85297,4807296500,60,Maricopa,For profit - Corporation,32,28.2,,Medicare,N,HARBOR MESA HEALTHCARE LLC,2012-03-08,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,2,,,,2.13846,1.30322,0.99272,2.29594,4.4344,3.66478,0.47637,0.20789,,26,,26,,26,1.49334,1.08097,2.48955,0.93845,0.73261,4.16062,3.67961,1.96744,1.199,0.91332,4.07976,3.37169,2024-10-02,0,0,0,0,0,0,0,2023-08-11,9,4,5,52,1,0,52,13,0,2,,0,0,0,0,"3319 SOUTH MERCY ROAD,GILBERT,AZ,85297",33.2917,-111.75,,2025-09-01
35286,SANTE OF NORTH SCOTTSDALE,17490 NORTH 93RD STREET,SCOTTSDALE,AZ,85255,4805885386,60,Maricopa,For profit - Limited Liability company,72,70,,Medicare,N,SCOTTSDALE OP CO LLC,2012-03-20,SANTE,466,5,4.4,3.4,3.8,5,N,,N,N,N,None,Yes,3,,2,,5,,,2,5,,3,,,,2.33559,1.71256,0.79347,2.50604,4.84162,4.06695,0.52911,0.31418,61.538,,78.571,,1,,1.60007,1.15823,2.6675,1.00553,0.78497,4.458,3.94262,2.00546,1.4705,0.68132,4.15727,3.4921,2024-09-13,10,7,4,56,1,0,56,2023-08-24,2,1,1,8,1,0,8,44,2,4,,0,0,0,0,"17490 NORTH 93RD STREET,SCOTTSDALE,AZ,85255",33.6445,-111.88,,2025-09-01
35289,"CENTER AT ARROWHEAD, LLC",7201 W CAMINO SAN XAVIER AVE,GLENDALE,AZ,85308,6237736100,60,Maricopa,For profit - Corporation,96,69,,Medicare,N,CENTER AT ARROWHEAD LLC,2015-10-14,VERITAS MANAGEMENT GROUP,545,15,4.3,3.8,3.1,4.9,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,2,,,,2.263,1.61223,0.62868,2.24091,4.50391,4.16941,0.57393,0.11439,65.714,,62.5,,,26,1.68187,1.21744,2.80386,1.05693,0.8251,4.68589,4.14417,1.84863,1.31702,0.51356,3.67921,3.40596,2024-02-15,2,2,0,8,1,0,8,2022-11-10,6,5,5,24,1,0,24,12,1,7,,0,0,0,0,"7201 W CAMINO SAN XAVIER AVE,GLENDALE,AZ,85308",33.6405,-112.22,,2025-09-01
35290,"HAVEN HEALTH SKY HARBOR, LLC",1880 EAST VAN BUREN STREET,PHOENIX,AZ,85006,6022534570,60,Maricopa,For profit - Limited Liability company,120,112.5,,Medicare and Medicaid,N,HAVEN HEALTH SKY HARBOR LLC,2016-02-03,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,5,,1,,,,2.70182,1.42493,0.54768,1.97261,4.67443,4.20063,0.37147,0.13566,42.373,,54.545,,2,,2.10886,1.52652,3.5157,1.32526,1.03458,5.87554,5.19628,1.76022,0.92833,0.35681,3.04536,2.73668,2024-05-06,16,13,3,84,1,0,84,2022-12-15,13,10,4,80,1,0,80,83,4,6,,1,43628,0,1,"1880 EAST VAN BUREN STREET,PHOENIX,AZ,85006",33.4514,-112.04,,2025-09-01
35291,"THE CENTER AT VAL VISTA, LLC",3744 SOUTH ROME STREET,GILBERT,AZ,85297,4802249500,60,Maricopa,For profit - Individual,96,78.5,,Medicare,N,CENTER AT VAL VISTA LLC,2016-11-29,VERITAS MANAGEMENT GROUP,545,15,4.3,3.8,3.1,4.9,N,,N,N,N,Resident,Yes,5,,5,,5,,,2,5,,2,,,,2.14378,1.94071,0.53951,2.48022,4.624,3.97124,0.43444,0.14483,48,,28.571,,0,,1.87539,1.35753,3.12649,1.17855,0.92004,5.22508,4.62101,1.57053,1.42176,0.39524,3.38753,2.90932,2023-12-29,2,2,0,8,1,0,8,2022-10-06,0,0,0,0,0,0,0,6,0,0,,0,0,0,0,"3744 SOUTH ROME STREET,GILBERT,AZ,85297",33.2814,-111.75,,2025-09-01
35292,SANDSTONE ESTATES REHAB CENTRE,2040 NORTH WILMOT ROAD,TUCSON,AZ,85712,5203006115,90,Pima,For profit - Corporation,103,84.7,,Medicare,N,SANDSTONE ESTATES REHAB CENTRE LLC,2017-02-21,SANDSTONE HEALTHCARE GROUP,463,3,1.7,1,3.3,4.3,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,4,,3,,,,2.48912,1.17798,0.3808,1.55877,4.04789,3.63955,0.36198,0.09828,64.078,,40,,1,,1.33066,0.96322,2.21836,0.83623,0.6528,3.70739,3.27879,2.57001,1.21626,0.39317,4.17944,3.75783,2024-10-25,13,12,2,72,1,0,72,2023-01-26,15,10,7,92,1,0,92,77,1,9,,0,0,0,0,"2040 NORTH WILMOT ROAD,TUCSON,AZ,85712",32.2481,-110.86,,2025-09-01
35295,THE CENTER AT TUCSON,5020 EAST GLENN STREET,TUCSON,AZ,85712,5203475555,90,Pima,For profit - Limited Liability company,96,91.4,,Medicare,N,CENTER AT TUCSON LLC,2018-07-06,VERITAS MANAGEMENT GROUP,545,15,4.3,3.8,3.1,4.9,N,,N,N,N,None,Yes,5,,5,,5,,,2,5,,2,,,,2.25938,1.45744,0.54796,2.00539,4.26477,3.38156,0.33152,0.15044,35.106,,33.333,,0,,1.72456,1.24835,2.87503,1.08376,0.84605,4.80484,4.24936,1.79998,1.1611,0.43654,3.39762,2.69399,2024-08-16,3,3,0,8,1,0,8,2023-02-09,3,2,3,12,1,0,12,9,2,0,,0,0,0,0,"5020 EAST GLENN STREET,TUCSON,AZ,85712",32.2579,-110.89,,2025-09-01
35296,ASPIRE TRANSITIONAL CARE,1521 NORTH PINE CLIFF DRIVE,FLAGSTAFF,AZ,86001,9284402350,20,Coconino,For profit - Corporation,50,39.8,,Medicare,N,"FLAGSTAFF TRANSITIONAL CARE, LLC",2018-10-11,THE GOODMAN GROUP,508,11,2.9,2.7,3.8,3.5,N,,N,N,N,Resident,Yes,3,,2,,4,,,2,4,,5,,,,1.92295,0.33796,1.70988,2.04784,3.97079,3.57247,1.34128,0.20103,26.19,,23.529,,0,,1.39563,1.01024,2.32666,0.87705,0.68467,3.88839,3.43886,1.89302,0.3327,1.68327,3.90899,3.51687,2024-08-22,9,9,0,60,1,0,60,2023-08-18,8,6,2,40,1,0,40,55,0,0,,0,0,0,0,"1521 NORTH PINE CLIFF DRIVE,FLAGSTAFF,AZ,86001",35.208,-111.64,,2025-09-01
35297,SURPRISE HEALTH AND REHABILITATION CENTER,14660 WEST PARKWOOD DRIVE,SURPRISE,AZ,85374,6235465030,60,Maricopa,For profit - Corporation,100,99.9,,Medicare,N,LUDDEN HEALTHCARE LLC,2019-10-04,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Both,Yes,5,,5,,5,,5,,5,,2,,,,2.8217,1.51527,0.89232,2.40759,5.22929,5.07966,0.97007,0.21734,47.368,,43.75,,0,,2.29509,1.66133,3.82617,1.4423,1.12594,6.39441,5.65517,1.68915,0.90708,0.53417,3.1304,3.04082,2024-04-12,2,0,2,8,0,0,8,2022-12-23,3,2,1,16,1,0,16,10,0,3,,0,0,0,0,"14660 WEST PARKWOOD DRIVE,SURPRISE,AZ,85374",33.6488,-112.38,,2025-09-01
35298,WELBROOK YUMA OPCO LLC,2271 SOUTH RIDGEVIEW DRIVE,YUMA,AZ,85364,9282564066,130,Yuma,For profit - Limited Liability company,41,37.3,,Medicare,N,WELBROOK YUMA OPCO LLC,2020-11-11,,,,,,,,N,,N,N,N,None,Yes,5,,5,,5,,,2,5,,5,,,,2.80498,0.9791,1.23058,2.20968,5.01466,4.48658,0.78584,0.3388,55.556,,41.667,,0,,1.40563,1.01749,2.34334,0.88334,0.68958,3.91627,3.46351,2.74167,0.957,1.20281,4.90148,4.38532,2025-01-08,1,0,1,4,1,0,4,2023-06-22,3,2,1,12,1,0,12,6,1,3,,0,0,0,0,"2271 SOUTH RIDGEVIEW DRIVE,YUMA,AZ,85364",32.6873,-114.64,,2025-09-01
35299,NORTHPARK HEALTH AND REHABILITATION OF CASCADIA,2020 NORTH 95TH AVENUE,PHOENIX,AZ,85037,2084019600,60,Maricopa,For profit - Corporation,54,53.6,,Medicare,N,"ESTRELLA OF CASCADIA, LLC",2021-03-24,CASCADIA HEALTHCARE,118,44,3.2,2.9,2.9,4,N,,N,N,N,None,Yes,5,,5,,5,,,2,5,,2,,,,2.10873,1.55933,0.6751,2.23443,4.34316,4.02544,0.41644,0.11533,65.789,,72.727,,2,,1.64211,1.18866,2.73757,1.03194,0.8056,4.57511,4.04619,1.76432,1.30465,0.56484,3.63381,3.36798,2024-10-17,1,1,0,4,1,0,4,2023-10-20,7,6,4,28,1,0,28,10,0,2,,1,3174.43,0,1,"2020 NORTH 95TH AVENUE,PHOENIX,AZ,85037",33.4687,-112.26,,2025-09-01
35300,MIRABELLA AT ASU,65 EAST UNIVERSITY AVENUE,TEMPE,AZ,85281,6027777701,60,Maricopa,Non profit - Corporation,21,13.6,,Medicare and Medicaid,N,"MIRABELLA AT ASU, INC",2021-09-09,PACIFIC RETIREMENT SERVICES,391,10,4.7,4.4,4.7,4.2,Y,,N,N,N,Resident,Yes,5,,5,,5,,,2,5,,4,,,,4.44273,1.31723,2.49975,3.81698,8.25971,7.52476,1.18651,0.41103,,26,,26,,26,1.41154,1.02176,2.35319,0.88705,0.69248,3.93271,3.47806,4.32429,1.28211,2.43311,8.03952,7.32416,2023-11-29,1,1,1,8,1,0,8,2022-10-13,3,3,0,16,1,0,16,10,0,0,,0,0,0,0,"65 EAST UNIVERSITY AVENUE,TEMPE,AZ,85281",33.422,-111.94,,2025-09-01
35301,SKILLED NURSING UNIT AT ORO VALLEY HOSPITAL,1551 E TANGERINE RD,ORO VALLEY,AZ,85755,5209016164,90,Pima,For profit - Corporation,33,27.7,,Medicare and Medicaid,Y,ORO VALLEY HOSPITAL LLC,2022-03-29,,,,,,,,N,,N,N,N,None,Yes,5,,4,,5,,,2,5,,4,,,,2.4386,2.25201,1.11216,3.36417,5.80277,5.13649,0.59396,0.61128,69.048,,50,,0,,1.28236,0.92826,2.13784,0.80587,0.62911,3.57283,3.15978,2.61268,2.41277,1.19155,6.217,5.50316,2024-07-03,1,1,0,4,1,0,4,2023-01-19,6,6,0,36,1,0,36,12,0,0,,1,1747.85,0,1,"1551 E TANGERINE RD,ORO VALLEY,AZ,85755",32.4251,-110.96,,2025-09-01
35302,DIAMONDBACK HEALTHCARE CENTER,3000 N 91ST AVENUE,PHOENIX,AZ,85037,6233032882,60,Maricopa,For profit - Corporation,94,89.1,,Medicare and Medicaid,N,91ST AVENUE OPERATIONS LLC,2022-07-21,,,,,,,,N,,N,N,N,Resident,Yes,4,,4,,4,,2,,5,,2,,,,2.37182,1.60479,0.37231,1.9771,4.34892,3.90875,0.23577,0.12042,43.011,,50,,1,,1.5914,1.15195,2.65303,1.00008,0.78072,4.43383,3.92124,2.04767,1.38547,0.32143,3.75457,3.37456,2024-10-31,4,1,3,20,1,0,20,2023-04-05,1,1,0,4,1,0,4,16,0,2,,2,5073.58,0,2,"3000 N 91ST AVENUE,PHOENIX,AZ,85037",33.481,-112.26,,2025-09-01
35303,ARIZONA STATE VETERAN HOME - YUMA,6051 EAST 34TH STREET,YUMA,AZ,85365,9282478303,130,Yuma,Government - State,80,55.6,,Medicare and Medicaid,N,STATE OF ARIZONA/STATE DEPT OF FINANCE,2023-06-22,,,,,,,,N,,N,N,N,Resident,Yes,2,,2,,4,,4,,,2,4,,,,3.09876,1.2013,1.36975,2.57106,5.66981,4.82262,1.00871,0.0856,,26,,26,,26,0.96806,0.70074,1.61387,0.60836,0.47492,2.69714,2.38533,4.39786,1.70493,1.944,8.04679,6.84442,2024-09-20,8,6,4,60,1,0,60,2023-06-22,0,0,0,0,0,0,0,45,3,2,,0,0,0,0,"6051 EAST 34TH STREET,YUMA,AZ,85365",32.6665,-114.52,,2025-09-01
65001,LOWRY HILLS CARE AND REHABILITATION,10201 E 3RD AVE,AURORA,CO,80010,3033643364,20,Arapahoe,For profit - Individual,108,93.7,,Medicare and Medicaid,N,SWEETWATER AURORA OPCO LLC,1968-09-19,SWEETWATER CARE,500,6,2.5,2.3,2.3,3.7,N,,N,N,N,Both,Yes,3,,2,,5,,5,,4,,2,,,,1.86854,0.71634,0.52308,1.23942,3.10796,2.81059,0.30743,0.14823,42.308,,58.824,,1,,1.31367,0.95092,2.19004,0.82555,0.64447,3.66005,3.23692,1.95422,0.74918,0.54706,3.25046,2.93946,2024-05-07,14,12,4,80,1,0,80,2023-01-26,13,10,6,108,1,0,108,87,4,11,,3,13399.75,0,3,"10201 E 3RD AVE,AURORA,CO,80010",39.7201,-104.87,,2025-09-01
65009,CITY PARK HEALTHCARE AND REHABILITATION CENTER,1667 SAINT PAUL ST,DENVER,CO,80206,3033992040,150,Denver,For profit - Partnership,125,116.9,,Medicare and Medicaid,N,HARMONY HILL HEALTHCARE INC,1980-06-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,Y,N,N,Resident,Yes,1,,2,,4,,4,,,2,1,,,,1.84231,0.5672,0.49211,1.05931,2.90162,2.68655,0.24099,0.05958,,26,,26,2,,1.1977,0.86697,1.9967,0.75267,0.58758,3.33695,2.95117,2.11335,0.65064,0.56451,3.3285,3.08179,2023-10-12,17,17,1,96,1,0,96,2022-07-14,15,10,5,88,1,0,88,94,2,7,,1,9750,0,1,"1667 SAINT PAUL ST,DENVER,CO,80206",39.743,-104.95,,2025-09-01
